,CMLSP,FCDE,FERDE,FWA-DM,GaAPADE,L-SHADE,MVMO,NRGA,OptBees,POBL_ADE,RSDE,SOO,SOO+BOBYQA,UMOEAS,b3e3pbest,rmalschcma
F1,3.9810567254902E-10,39737210.098745,74247962.7037171,276356.861785882,1.00312941176471E-14,0,0.0010664527,574302.496031413,85681.0783509804,15954.8321568627,1500.2888909079,215525900,2674850,0,13225062.5980392,0
F2,0,1759112643.3251,3467117007.89457,1.07544774822878E-16,1.67188235294118E-15,0,2.38005190235294E-05,9276.2813645137,3.31753797588235E-12,313.6770661267,1.19144250980392E-09,31387,99.611,0,517280687.246079,0
F3,1.23356261764706E-08,9119.3176894122,13921.8438034149,4.42363366073921E-16,2.22913725490196E-15,0,0.0011057164,4581.8338937822,0.0084136248,6.42962549019608E-10,0.0474332227,10810.2,7840.39,0,5609.1629068376,26.1949173104
F4,2.17342730392157E-06,196.6229225958,489.4935420092,20.362488008,2.82767874509804E-12,0,4.38028697058824E-13,80.5810229233,12.5634821334,63.4483107084,3.0517899778,109.346,36.755,0,63.4242823506,0
F5,19.9989607843,20.9567790787,20.1969802755,20.5059723192,20.0022941176,20.1146763049,19.9995564118,20.0001446751,19.9999976275,20.6376972549,20.3341079216,20,20,20.1613620196,20.5193764706,19.9997121569
F6,0,23.2915914269,24.0327445757,12.8636293022,0.6134212525,1.38431029846092E-07,3.6202262827,17.8233548616,16.3762022529,5.1911923529,5.1606329765,1.897,1.907,0,21.986927451,1.1358489414
F7,0,25.5676371278,31.1005482495,0.0085458905,2.22921568627451E-15,0,0.0029900416,0.0158939308,0.0374558704,0.023726586,0.0008464691,0.996,0.409,0,4.0912666823,0.0001932801
F8,9.8374907765,119.9244532675,46.4036205743,1.13477854561412E-13,1.7462656961,0,0.8584115433,26.5898824784,3.63352049607843E-13,55.8655415686,20.4134092157,92.531,92.531,1.9509001102,51.065231075,0.0195349739
F9,2.185260451,201.6079114441,122.0642406745,56.6179300406,16.9961568627,6.7848764763,25.1275797843,45.6901822733,137.1473289608,84.6310823529,57.9504244314,59.706,59.697,8.4476076431,104.3559156863,17.9287663333
F10,1469.4791568628,3548.6698966085,1339.7024779922,8.525866703,8.1432843137,0.0163288218,17.8636095882,1073.4727350666,1041.298494902,2167.6751254902,329.1780562745,2312.38,2131.47,13.643946998,1462.0605746878,81.2465965686
F11,1822.4765882353,5314.8504648288,3551.509945644,2629.7529064314,1896.7666666667,1229.4790938139,1541.6900521569,3405.5531133324,2716.6351313726,3858.2700784314,2737.2630647059,2151.25,2091.05,1575.3243692157,3877.6982352941,1549.5209862745
F12,0.0001457052,1.9111004987,1.3521804705,0.3712507992,0.2033886471,0.1605767307,0.0720552021,0.1505419551,0.1812459014,0.9505057627,0.4439414084,0.03,0.03,0.0021532762,0.9895080784,0.0159747439
F13,0.0481352824,0.7415339954,0.8459909493,0.3886200577,0.1448862745,0.1241169481,0.1572941558,0.2811101886,0.5608331353,0.2858337824,0.30536355,0.35,0.34,0.0568129615,0.3844830392,0.1376759378
F14,0.3118949216,3.2126460738,12.3681487226,0.2685818889,0.2112864706,0.2417019554,0.1988561896,0.1866163365,0.3995473927,0.225914549,0.2362806771,0.29,0.28,0.2110417847,1.0154932941,0.2216354314
F15,3.0207135294,4496.4952592617,41716.5549857072,7.3732822601,3.0602882353,2.1463695397,2.8552269294,13.7296968593,12.7103541333,7.7337784314,5.9220198902,22.51,21.69,3.0882482882,182.0982880392,2.4507832353
F16,12.7848470588,12.869335655,12.148219186,10.9782978847,9.8809705882,8.4990146629,10.2094920353,11.4669638132,10.9081328353,10.4407191373,10.6021788157,9.86,9.81,10.5399833157,11.214397451,9.6474157647
F17,934.8204705882,705469.957365401,7040903.80384939,6285.7234993137,199.7495294118,187.5081400917,900.8197568627,234648.017476315,27401.7286313725,1103.6921229412,1239.1428327451,28114700,42148.7,1009.2474045686,520178.724392157,697.8607854902
F18,75.4492882353,2238461.57920752,95603636.6797618,76.6620215343,9.3240156863,5.9100668314,28.9382387686,550.4613656365,195.5904240392,109.7573209804,95.4481953922,2854.99,41.58,23.1735128333,3170488.26827255,566.9142417647
F19,3.8772611765,25.9933503201,47.7042357614,9.9472299095,3.6206941176,3.6817790085,3.0799649137,13.7397473034,7.8983692843,8.8818456078,5.6529656196,183.62,16.3,3.811121849,10.0843386275,5.8225191961
F20,9.79078,5091.0551301007,10330.3695231212,42.7793983071,5.5854078431,3.0818629205,109.1571832373,11377.950325283,852.6655676667,38.9071146667,37.3023477843,38149.6,34381.2,11.6816574039,3225.9467019608,198.8779813725
F21,229.6321058824,55807.809200248,3113705.10209403,729.4119456451,118.2128098039,86.8329035552,466.6169618824,180670.695377051,17431.8980019608,386.3058941176,470.9285305686,16290100,15435,317.8185075314,434810.412568628,573.2908078431
F22,60.9474372549,389.7186690937,456.6455930802,145.6530045773,62.6329019608,27.6009005983,144.5745132824,407.1395860159,232.0180570588,230.5925509804,191.3663908235,1019.94,956.48,95.9487691967,432.9887058824,158.8346043137
F23,200,326.0802700086,340.8299622198,314.0128864,315.24,315.2441021856,315.2441,315.2454000375,314.7704268627,315.2441,315.2441001961,200,200,314.01289,319.2657647059,315.2442156863
F24,200.0004901961,250.5471815037,245.6887679801,226.0678812294,224.2921568627,224.0462359105,224.7538413725,228.4003371067,236.1550243137,221.5733882353,224.3781768627,200,200,224.4924843137,228.0547058824,222.2347098039
F25,200,209.0371495535,211.1375677847,200.5652598902,202.5915686275,202.6062558082,203.2951396078,210.5359279252,200.9749570588,203.6275588235,202.72703,200,200,200.1946680392,205.1926666667,205.6071941176
F26,123.6992941176,100.8766515931,100.9756534744,100.3497159765,100.1431372549,100.1136355942,100.1622337255,100.3634867473,100.5510392157,139.4970862745,100.3369556863,200,200,100.0586856863,100.3732352941,102.0887941176
F27,200,891.4109437067,582.5453185714,401.0318708196,327.6450980392,300,401.1319882353,587.6208469157,402.3999684314,420.5095431373,468.5443513725,200,200,301.0252705882,416.6909215686,328.444745098
F28,200,1106.0418799381,1328.1199584445,393.0305986765,833.5894117647,840.3042670867,876.770054902,1593.6330570629,431.3996172549,916.384527451,905.0780970588,200,200,368.3277519608,931.0007843137,823.3830098039
F29,200,315919.68149615,4349024.32846354,211.0372821059,500071.88627451,716.8803395265,736.0847390196,1320.5987325271,215.9009711765,339290.33437451,651806.040809412,200,200,205.7818968627,433867.102745098,1146.5833294118
F30,200,9424.4394315194,100493.963870865,451.3508857824,1646.4243137255,1246.3809343466,2001.1468447059,2889.441984638,592.8338227451,1292.003945098,1695.6212627451,200,200,430.311324902,12856.2237254902,2040.6691
