,DEBin,DEexp,CoDE,D-SHADE,EPSDE,JADE,L-SHADE,NBI..ES,SHADE11,SaDE,dynNP-jDE,iCMAES-ILS
F1,88768.35,294891,26331.8869575095,0.0050418117,24161.6368514507,447.8196375692,0,0,481.3446959104,298971.33918979,46510.1940625492,0
F2,200,200,0,0,0,0,0,0,0,0,0,0
F3,300,300,0,0,0,0.0005629185,0,0,0,14.257932951,0,0
F4,384.5558,411.0745,2.5174323588,0.000000005,3.2126594868,0,0,0,0,37.1840031333,2.0351191349,0
F5,500.6692,500.2929,20.0638990081,20.014190075,20.3465183299,20.2871394796,20.1146763049,20.5171473664,20.1010978352,20.535686704,20.2912690121,19.999996584
F6,603.1521,617.416,1.989059588,0.0592439663,18.8932679541,9.4228913131,1.38431029846092E-07,0.71355109,0.5289065467,5.459936197,1.1962049557,0.0039953306
F7,699.9653,699.9642,0.0001450204,0,0.002076039,0,0,0,0.0004833209,0.0123331042,0,0
F8,809.5867,799.9602,0,0,0,0,0,9.9779944845,0,0.0780360045,0,2.4170140021
F9,1022.2535,972.914,40.3709465644,8.7033130494,44.3622374613,26.1659720545,6.7848764763,3.2411292953,15.8317588869,38.1205435002,33.9322718406,2.5650257004
F10,1434.848,993.486,0.5001944736,0.0351069653,0.2013990496,0.0053068668,0.0163288218,636.0031183409,0.0126582609,0.2691944263,0.0040822053,145.0062082025
F11,6761.375,4306.798,1951.2929891771,1303.967335214,3564.6341000583,1639.944130081,1229.4790938139,731.4947895676,1396.9447447931,3147.4624975955,1953.7416221137,73.8476351485
F12,1202.029,1200.221,0.0599885033,0.096652332,0.5251637371,0.271126043,0.1605767307,0.0132206013,0.1622655501,0.7941856261,0.3620864099,0.0282886171
F13,1300.186,1300.266,0.2312994696,0.1343522392,0.2429946066,0.2202961947,0.1241169481,0.0389138786,0.204013082,0.2515931325,0.2531034432,0.0295117437
F14,1400.13,1400.137,0.2388880533,0.2317340201,0.2781204939,0.2339873433,0.2417019554,0.3278191837,0.2246756645,0.2285316261,0.2656600071,0.1698163853
F15,1512.712,1507.451,3.1752326865,1.891847409,5.6692715458,3.0979738509,2.1463695397,2.1358244086,2.5641257305,4.1410046965,4.7558500578,2.511015745
F16,1609.948,1608.543,9.2624788512,8.5185217633,11.1464675089,9.3698400651,8.4990146629,10.6241345589,9.1477571713,10.9108972442,9.2242240552,10.8701658698
F17,4949.27,3933.332,1452.9858881834,210.3202094505,46053.184294654,9673.3938438023,187.5081400917,852.2059371945,1058.9064509057,11530.6982263603,957.7013954585,1046.7457137552
F18,1817.342,1841.54,13.4426166433,10.3642055724,331.8819351177,358.0523589079,5.9100668314,115.3533003598,49.8746042765,443.8338610018,21.0203929455,96.0895492581
F19,1903.681,1905.776,2.7041341224,3.5275106013,13.3001180287,4.4373187032,3.6817790085,5.6999352978,4.3057246012,4.0013010373,3.9067045066,6.4564439646
F20,2013.36,2026.486,10.9130962302,4.2016410845,50.0424672363,2885.3663233016,3.0818629205,24.0393009139,12.6424344838,124.5428468825,8.5281661356,33.5459350278
F21,,,200.0482690102,106.2051929029,8844.3216642311,7575.0046859121,86.8329035552,490.9560478474,251.7555865108,2835.0273313558,160.1294859081,644.1372643256
F22,,,193.3254303812,35.5066298466,255.6093051673,145.6977803831,27.6009005983,141.0668453359,114.1862044569,166.3284625745,84.6048367793,129.8305120195
F23,,,315.2441021856,315.2441021856,314.0128863524,315.2441021856,315.2441021856,315.2441021856,315.2441021856,315.2441021856,315.2441021856,315.2441021856
F24,,,225.0910182966,223.9293331009,228.8441610888,225.6130908072,224.0462359105,212.295334565,224.9449424424,228.6212466412,223.5713214781,215.289118954
F25,,,203.6230183796,202.6230076824,200.233444299,203.8765473935,202.6062558082,202.553346935,203.4241118906,208.2789586869,203.1289486066,202.579264357
F26,,,100.2340839429,100.1306336393,100.2565949929,102.1754781156,100.1136355942,100.074187465,100.1977290565,106.142177232,100.2588474908,100.0315615234
F27,,,383.3963725162,300.0141545629,833.3420171352,344.1504422632,300,300.0000000005,324.5381473837,417.8644493617,359.3205289535,300.0000000001
F28,,,838.7560083286,839.0474430736,398.3079346293,802.7313661976,840.3042670867,795.7122089777,840.4695473053,890.452298548,789.0576063231,875.4944936563
F29,,,788.6598861244,718.3119240475,214.295386118,759.0852347695,716.8803395265,665.6242803077,715.1569916016,1079.1736381815,775.8307266455,726.5327863376
F30,,,999.7131009796,1172.7128306879,567.0784098961,1919.1601377926,1246.3809343466,1660.5585656451,1565.6276392689,1668.0132885747,1055.4886400635,2186.5088012214
